Class                                              AP
Drum and bass                                      0.3730
Electronica                                        0.3509
Electronic dance music                             0.4967
Ambient music                                      0.3157
Trance music                                       0.3716
Music of Latin America                             0.2910
Salsa music                                        0.6029
Flamenco                                           0.4141
Blues                                              0.2509
Music for children                                 0.2122
New-age music                                      0.3145
Vocal music                                        0.2837
A capella                                          0.5475
Music of Africa                                    0.3892
Afrobeat                                           0.4617
Christian music                                    0.1967
Gospel music                                       0.4710
Music of Asia                                      0.1606
Carnatic music                                     0.5972
Music of Bollywood                                 0.5035
Ska                                                0.3874
Traditional music                                  0.2043
Independent music                                  0.2123
Song                                               0.1190
Background music                                   0.3347
Theme music                                        0.2615
Jingle (music)                                     0.1565
Soundtrack music                                   0.0763
Lullaby                                            0.4778
Video game music                                   0.4636
Christmas music                                    0.1076
Dance music                                        0.2567
Wedding music                                      0.1550
Happy music                                        0.1648
Funny music                                        0.1290
Sad music                                          0.2719
Tender music                                       0.0970
Exciting music                                     0.0898
Angry music                                        0.7574
Scary music                                        0.3974
Wind                                               0.4783
Rustling leaves                                    0.1679
Wind noise (microphone)                            0.5131
Thunderstorm                                       0.7939
Thunder                                            0.7738
Water                                              0.5777
Rain                                               0.7405
Raindrop                                           0.5633
Rain on surface                                    0.6289
Stream                                             0.4229
Waterfall                                          0.5787
Ocean                                              0.4431
Waves, surf                                        0.4255
Steam                                              0.4516
Gurgling                                           0.1364
Fire                                               0.3492
Crackle                                            0.0734
Vehicle                                            0.5532
Boat, Water vehicle                                0.6453
Sailboat, sailing ship                             0.5750
Rowboat, canoe, kayak                              0.5703
Motorboat, speedboat                               0.3968
Ship                                               0.3972
Motor vehicle (road)                               0.1181
Car                                                0.4079
Vehicle horn, car horn, honking                    0.4676
Toot                                               0.4761
Car alarm                                          0.6584
Power windows, electric windows                    0.6733
Skidding                                           0.6906
Tire squeal                                        0.3207
Car passing by                                     0.4582
Race car, auto racing                              0.4868
Truck                                              0.3682
Air brake                                          0.3514
Air horn, truck horn                               0.6637
Reversing beeps                                    0.6116
Ice cream truck, ice cream van                     0.7786
Bus                                                0.4621
Emergency vehicle                                  0.9355
Police car (siren)                                 0.7693
Ambulance (siren)                                  0.7105
Fire engine, fire truck (siren)                    0.8963
Motorcycle                                         0.3030
Traffic noise, roadway noise                       0.1387
Rail transport                                     0.8064
Train                                              0.8168
Train whistle                                      0.4705
Train horn                                         0.6663
Railroad car, train wagon                          0.8082
Train wheels squealing                             0.8377
Subway, metro, underground                         0.6950
Aircraft                                           0.5878
Aircraft engine                                    0.6259
Jet engine                                         0.6407
Propeller, airscrew                                0.2712
Helicopter                                         0.6171
Fixed-wing aircraft, airplane                      0.5937
Bicycle                                            0.2947
Skateboard                                         0.7768
Engine                                             0.4348
Light engine (high frequency)                      0.5021
Dental drill, dentist's drill                      0.3335
Lawn mower                                         0.5876
Chainsaw                                           0.6813
Medium engine (mid frequency)                      0.1424
Heavy engine (low frequency)                       0.1056
Engine knocking                                    0.2839
Engine starting                                    0.4746
Idling                                             0.2275
Accelerating, revving, vroom                       0.3056
Door                                               0.2353
Doorbell                                           0.5489
Ding-dong                                          0.2819
Sliding door                                       0.2865
Slam                                               0.2419
