Class                                              AP
Drum and bass                                      0.3269
Electronica                                        0.3206
Electronic dance music                             0.3920
Ambient music                                      0.2764
Trance music                                       0.3091
Music of Latin America                             0.2041
Salsa music                                        0.5655
Flamenco                                           0.3890
Blues                                              0.1283
Music for children                                 0.2005
New-age music                                      0.2258
Vocal music                                        0.2198
A capella                                          0.5333
Music of Africa                                    0.3960
Afrobeat                                           0.3711
Christian music                                    0.1990
Gospel music                                       0.2570
Music of Asia                                      0.1079
Carnatic music                                     0.4185
Music of Bollywood                                 0.4243
Ska                                                0.2750
Traditional music                                  0.1423
Independent music                                  0.1598
Song                                               0.1181
Background music                                   0.2194
Theme music                                        0.2287
Jingle (music)                                     0.1457
Soundtrack music                                   0.0580
Lullaby                                            0.3885
Video game music                                   0.4973
Christmas music                                    0.0933
Dance music                                        0.2086
Wedding music                                      0.0865
Happy music                                        0.1658
Funny music                                        0.0758
Sad music                                          0.2381
Tender music                                       0.1218
Exciting music                                     0.0603
Angry music                                        0.6017
Scary music                                        0.3191
Wind                                               0.4355
Rustling leaves                                    0.1271
Wind noise (microphone)                            0.4987
Thunderstorm                                       0.7226
Thunder                                            0.7090
Water                                              0.5845
Rain                                               0.6493
Raindrop                                           0.4785
Rain on surface                                    0.5487
Stream                                             0.3456
Waterfall                                          0.5288
Ocean                                              0.3697
Waves, surf                                        0.4095
Steam                                              0.3985
Gurgling                                           0.0727
Fire                                               0.1298
Crackle                                            0.0267
Vehicle                                            0.5153
Boat, Water vehicle                                0.5264
Sailboat, sailing ship                             0.4818
Rowboat, canoe, kayak                              0.4657
Motorboat, speedboat                               0.1730
Ship                                               0.2358
Motor vehicle (road)                               0.1122
Car                                                0.4058
Vehicle horn, car horn, honking                    0.3611
Toot                                               0.4925
Car alarm                                          0.5264
Power windows, electric windows                    0.4881
Skidding                                           0.6446
Tire squeal                                        0.2901
Car passing by                                     0.2477
Race car, auto racing                              0.3646
Truck                                              0.2986
Air brake                                          0.2286
Air horn, truck horn                               0.5867
