Class                                              AP
Speech                                             0.8458
Male speech, man speaking                          0.0946
Female speech, woman speaking                      0.1447
Child speech, kid speaking                         0.5058
Conversation                                       0.4461
Narration, monologue                               0.1263
Babbling                                           0.6327
Speech synthesizer                                 0.5511
Shout                                              0.2088
Bellow                                             0.1795
Whoop                                              0.1892
Yell                                               0.2704
Battle cry                                         0.8931
Children shouting                                  0.5148
Screaming                                          0.3753
Whispering                                         0.8267
Laughter                                           0.4530
Baby laughter                                      0.6503
Giggle                                             0.3341
Snicker                                            0.3027
Belly laugh                                        0.3156
Chuckle, chortle                                   0.2617
Crying, sobbing                                    0.5564
Baby cry, infant cry                               0.4760
Whimper                                            0.3852
Wail, moan                                         0.2074
Sigh                                               0.3569
Singing                                            0.3714
Choir                                              0.7493
Yodeling                                           0.6454
Chant                                              0.4907
Mantra                                             0.4299
Male singing                                       0.2348
Female singing                                     0.3104
Child singing                                      0.5766
Synthetic singing                                  0.5300
Rapping                                            0.4985
Humming                                            0.5860
Groan                                              0.0853
Grunt                                              0.3491
Whistling                                          0.7951
Breathing                                          0.2483
Wheeze                                             0.2719
Snoring                                            0.8460
Gasp                                               0.2743
Pant                                               0.4816
Snort                                              0.1769
Cough                                              0.5451
Throat clearing                                    0.4242
Sneeze                                             0.5809
Sniff                                              0.4221
Run                                                0.3977
Shuffle                                            0.5314
Walk, footsteps                                    0.4330
Chewing, mastication                               0.5830
Biting                                             0.2898
Gargling                                           0.6821
Stomach rumble                                     0.7533
Burping, eructation                                0.6958
Hiccup                                             0.7656
Fart                                               0.8270
Hands                                              0.5917
Finger snapping                                    0.5135
Clapping                                           0.5113
Heart sounds, heartbeat                            0.6118
Heart murmur                                       0.3801
Cheering                                           0.5040
Applause                                           0.6162
Chatter                                            0.7537
Crowd                                              0.7365
Hubbub, speech noise, speech babble                0.3500
Children playing                                   0.6556
Animal                                             0.6542
Domestic animals, pets                             0.6786
Dog                                                0.7099
Bark                                               0.4799
Yip                                                0.2964
Howl                                               0.7917
Bow-wow                                            0.5187
Growling                                           0.3915
Whimper (dog)                                      0.2485
Cat                                                0.7376
Purr                                               0.7982
Meow                                               0.6417
Hiss                                               0.4319
Caterwaul                                          0.6461
Livestock, farm animals, working animals           0.7244
Horse                                              0.5909
Clip-clop                                          0.4784
Neigh, whinny                                      0.8682
Cattle, bovinae                                    0.9326
Moo                                                0.9240
Cowbell                                            0.7241
Pig                                                0.6264
Oink                                               0.3769
Goat                                               0.6250
Bleat                                              0.4835
Sheep                                              0.6209
Fowl                                               0.8863
Chicken, rooster                                   0.7774
Cluck                                              0.6664
Crowing, cock-a-doodle-doo                         0.9230
Turkey                                             0.9389
Gobble                                             0.9376
Duck                                               0.4841
Quack                                              0.6120
Goose                                              0.7763
Honk                                               0.7357
Wild animals                                       0.3790
Roaring cats (lions, tigers)                       0.5277
Roar                                               0.6055
Bird                                               0.4863
Bird vocalization, bird call, bird song            0.3351
Chirp, tweet                                       0.1462
Squawk                                             0.3457
Pigeon, dove                                       0.7906
Coo                                                0.8181
Crow                                               0.7133
Caw                                                0.7372
Owl                                                0.7784
Hoot                                               0.9222
Bird flight, flapping wings                        0.7502
Canidae, dogs, wolves                              0.3182
Rodents, rats, mice                                0.4162
Mouse                                              0.1877
Patter                                             0.3345
Insect                                             0.8179
Cricket                                            0.6225
Mosquito                                           0.7743
Fly, housefly                                      0.8537
Buzz                                               0.1058
Bee, wasp, etc.                                    0.8041
Frog                                               0.8735
Croak                                              0.8802
Snake                                              0.6303
Rattle                                             0.0713
Whale vocalization                                 0.7206
Music                                              0.8740
Musical instrument                                 0.3847
Plucked string instrument                          0.5158
Guitar                                             0.6731
Electric guitar                                    0.5640
Bass guitar                                        0.5316
Acoustic guitar                                    0.4962
Steel guitar, slide guitar                         0.3612
Tapping (guitar technique)                         0.4803
Strum                                              0.3100
Banjo                                              0.7952
Sitar                                              0.5169
Mandolin                                           0.4707
Zither                                             0.6296
Ukulele                                            0.5933
Keyboard (musical)                                 0.5083
Piano                                              0.4005
Electric piano                                     0.4375
Organ                                              0.7916
Electronic organ                                   0.4406
Hammond organ                                      0.5500
Synthesizer                                        0.2112
Sampler                                            0.1661
Harpsichord                                        0.7951
Percussion                                         0.6261
Drum kit                                           0.6727
Drum machine                                       0.3109
Drum                                               0.5749
Snare drum                                         0.6749
Rimshot                                            0.6389
Drum roll                                          0.6334
Bass drum                                          0.6715
Timpani                                            0.7522
Tabla                                              0.6750
Cymbal                                             0.6480
Hi-hat                                             0.6923
Wood block                                         0.6909
Tambourine                                         0.6689
Rattle (instrument)                                0.4445
Maraca                                             0.3952
Gong                                               0.7372
Tubular bells                                      0.3076
Mallet percussion                                  0.3649
Marimba, xylophone                                 0.4287
Glockenspiel                                       0.4412
Vibraphone                                         0.5077
Steelpan                                           0.7857
Orchestra                                          0.4187
Brass instrument                                   0.8216
French horn                                        0.8049
Trumpet                                            0.5883
Trombone                                           0.6125
Bowed string instrument                            0.5468
String section                                     0.5533
Violin, fiddle                                     0.4042
Pizzicato                                          0.7231
Cello                                              0.6641
Double bass                                        0.6660
Wind instrument, woodwind instrument               0.8010
Flute                                              0.5751
Saxophone                                          0.6844
Clarinet                                           0.6401
Harp                                               0.7776
Bell                                               0.2490
Church bell                                        0.7282
Jingle bell                                        0.6950
Bicycle bell                                       0.7357
Tuning fork                                        0.7526
Chime                                              0.7364
Wind chime                                         0.8623
Change ringing (campanology)                       0.8915
Harmonica                                          0.9084
Accordion                                          0.8752
Bagpipes                                           0.9635
Didgeridoo                                         0.9106
Shofar                                             0.8828
Theremin                                           0.5284
Singing bowl                                       0.6199
Scratching (performance technique)                 0.6316
Pop music                                          0.2129
Hip hop music                                      0.3250
Beatboxing                                         0.6972
Rock music                                         0.2086
Heavy metal                                        0.3044
Punk rock                                          0.2578
Grunge                                             0.3133
Progressive rock                                   0.3505
Rock and roll                                      0.3483
Psychedelic rock                                   0.2295
Rhythm and blues                                   0.1640
Soul music                                         0.2483
Reggae                                             0.3462
Country                                            0.2711
Swing music                                        0.3348
Bluegrass                                          0.5418
Funk                                               0.2097
Folk music                                         0.1439
Middle Eastern music                               0.3299
Jazz                                               0.1083
Disco                                              0.3531
Classical music                                    0.1142
Opera                                              0.6053
Electronic music                                   0.2783
House music                                        0.3198
Techno                                             0.4456
Dubstep                                            0.4711
Drum and bass                                      0.3722
Electronica                                        0.3240
Electronic dance music                             0.4855
Ambient music                                      0.3134
Trance music                                       0.3615
Music of Latin America                             0.2979
Salsa music                                        0.6335
Flamenco                                           0.4452
Blues                                              0.2311
Music for children                                 0.2320
New-age music                                      0.3469
Vocal music                                        0.2715
A capella                                          0.5402
Music of Africa                                    0.3872
Afrobeat                                           0.4655
Christian music                                    0.2076
Gospel music                                       0.4615
