Class                                              AP
Drum and bass                                      0.3547
Electronica                                        0.3370
Electronic dance music                             0.4946
Ambient music                                      0.3275
Trance music                                       0.3699
Music of Latin America                             0.3098
Salsa music                                        0.6348
Flamenco                                           0.4787
Blues                                              0.2451
Music for children                                 0.2391
New-age music                                      0.3100
Vocal music                                        0.3059
A capella                                          0.5703
Music of Africa                                    0.3915
Afrobeat                                           0.4410
Christian music                                    0.2340
Gospel music                                       0.4579
Music of Asia                                      0.1829
Carnatic music                                     0.6282
Music of Bollywood                                 0.5288
Ska                                                0.3992
Traditional music                                  0.2106
Independent music                                  0.2048
Song                                               0.1232
Background music                                   0.3512
Theme music                                        0.3020
Jingle (music)                                     0.1681
Soundtrack music                                   0.0793
Lullaby                                            0.4977
Video game music                                   0.4512
Christmas music                                    0.1250
Dance music                                        0.2659
Wedding music                                      0.1414
Happy music                                        0.1959
Funny music                                        0.1288
Sad music                                          0.2952
Tender music                                       0.1339
Exciting music                                     0.1003
Angry music                                        0.7801
Scary music                                        0.4274
Wind                                               0.5055
Rustling leaves                                    0.1747
Wind noise (microphone)                            0.5370
Thunderstorm                                       0.8085
Thunder                                            0.8008
Water                                              0.5465
Rain                                               0.7514
Raindrop                                           0.5631
Rain on surface                                    0.6273
Stream                                             0.4573
Waterfall                                          0.5870
Ocean                                              0.4394
Waves, surf                                        0.4004
Steam                                              0.4265
Gurgling                                           0.1381
Fire                                               0.3969
Crackle                                            0.0637
Vehicle                                            0.5736
Boat, Water vehicle                                0.6799
Sailboat, sailing ship                             0.6076
Rowboat, canoe, kayak                              0.5668
Motorboat, speedboat                               0.4324
Ship                                               0.3823
Motor vehicle (road)                               0.1110
Car                                                0.4126
Vehicle horn, car horn, honking                    0.4789
Toot                                               0.5187
Car alarm                                          0.6620
Power windows, electric windows                    0.6946
Skidding                                           0.6681
Tire squeal                                        0.2879
Car passing by                                     0.4181
Race car, auto racing                              0.4113
Truck                                              0.3855
Air brake                                          0.3996
Air horn, truck horn                               0.6472
Reversing beeps                                    0.5781
Ice cream truck, ice cream van                     0.7684
Bus                                                0.5212
Emergency vehicle                                  0.9433
Police car (siren)                                 0.7905
Ambulance (siren)                                  0.7515
Fire engine, fire truck (siren)                    0.8906
Motorcycle                                         0.3196
Traffic noise, roadway noise                       0.1419
Rail transport                                     0.7966
Train                                              0.8101
Train whistle                                      0.4777
Train horn                                         0.6548
Railroad car, train wagon                          0.8028
Train wheels squealing                             0.8493
Subway, metro, underground                         0.7212
Aircraft                                           0.6027
Aircraft engine                                    0.6638
Jet engine                                         0.6858
Propeller, airscrew                                0.3000
Helicopter                                         0.6209
Fixed-wing aircraft, airplane                      0.5644
